Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
БОЕПРИПАСЫ С ОТРАВЛЯЮЩИМИ ВЕЩЕСТВАМИ с разрывным, вышибным или метательным зарядом	0021	1	1.3K			
ПОРОХ ДЫМНЫЙ (ПОРОХ ЧЕРНЫЙ) гранулированный или в порошке	0027	1	1.1D			1
ПОРОХ ДЫМНЫЙ (ПОРОХ ЧЕРНЫЙ) ПРЕССОВАННЫЙ	0028	1	1.1D			1
ПОРОХ ДЫМНЫЙ (ПОРОХ ЧЕРНЫЙ) В ШАШКАХ	0028	1	1.1D			1
ДЕТОНАТОРЫ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ	0029	1	1.1B			1
ДЕТОНАТОРЫ ЭЛЕКТРИЧЕСКИЕ для взрывных работ	0030	1	1.1B			1
БОМБЫ с разрывным зарядом	0033	1	1.1F			1
БОМБЫ с разрывным зарядом	0034	1	1.1D			1
БОМБЫ с разрывным зарядом	0035	1	1.2D			1
ФОТОАВИАБОМБЫ	0037	1	1.1F			1
ФОТОАВИАБОМБЫ	0038	1	1.1D			1
ФОТОАВИАБОМБЫ	0039	1	1.2G			1
ДЕТОНАТОРЫ ВТОРИЧНЫЕ без первичного детонатора	0042	1	1.1D			1
ЗАРЯДЫ РАЗРЫВНЫЕ взрывчатые	0043	1	1.1D			1
КАПСЮЛИ-ВОСПЛАМЕНИТЕЛИ	0044	1	1.4S			4
ЗАРЯДЫ ПОДРЫВНЫЕ	0048	1	1.1D			1
ПАТРОНЫ ОСВЕТИТЕЛЬНЫЕ	0049	1	1.1G			1
ПАТРОНЫ ОСВЕТИТЕЛЬНЫЕ	0050	1	1.3G			1
ПАТРОНЫ СИГНАЛЬНЫЕ	0054	1	1.3G			1
ГИЛЬЗЫ ПАТРОННЫЕ ПУСТЫЕ С КАПСЮЛЯМИ	0055	1	1.4S			4
БОМБЫ ГЛУБИННЫЕ	0056	1	1.1D			1
ЗАРЯДЫ КУМУЛЯТИВНЫЕ без детонатора	0059	1	1.1D			1
ЗАРЯДЫ ДОПОЛНИТЕЛЬНЫЕ ВЗРЫВЧАТЫЕ	0060	1	1.1D			1
ШНУР ДЕТОНИРУЮЩИЙ гибкий	0065	1	1.1D			1
ШНУР ОГНЕПРОВОДНЫЙ	0066	1	1.4G			2
РЕЗАКИ КАБЕЛЬНЫЕ ВЗРЫВЧАТЫЕ	0070	1	1.4S			4
ЦИКЛОТРИМЕТИЛЕНТРИНИТРАМИН (ГЕКСОГЕН, ЦИКЛОНИТ, RDX) УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%	0072	1	1.1D			1
ДЕТОНАТОРЫ ДЛЯ БОЕПРИПАСОВ	0073	1	1.1B			1
ДИАЗОДИНИТРОФЕНОЛ УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 40%	0074	1	1.1A			0
ДИЭТИЛЕНГЛИКОЛЬДИНИТРАТ ДЕСЕНСИБИЛИЗИРОВАННЫЙ с массовой долей нелетучего и нерастворимого в воде флегматизатора не менее 25%	0075	1	1.1D			1
ДИНИТРОФЕНОЛ сухой или увлажненный с массовой долей воды менее 15%	0076		1.1D			1
ДИНИТРОФЕНОЛЯТЫ щелочных металлов сухие или увлажненные с массовой долей воды менее 15%	0077	1	1.3C			1
ДИНИТРОРЕЗОРЦИН сухой или увлажненный с массовой долей воды менее 15%	0078	1	1.1D			1
ГЕКСАНИТРОДИФЕНИЛАМИН (ДИПИКРИЛАМИН, ГЕКСИЛ)	0079	1	1.1D			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП А	0081	1	1.1D			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП В	0082	1	1.1D			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП С	0083	1	1.1D			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП D	0084	1	1.1D			1
РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ, ЗАПУСКАЕМЫЕ С ЗЕМЛИ	0092	1	1.3G			1
РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ	0093	1	1.3G			1
ПОРОХ ДЛЯ ПИРОТЕХНИЧЕСКИХ ИЗДЕЛИЙ	0094	1	1.1G			1
ТОРПЕДЫ ВЗРЫВЧАТЫЕ для нефтескважин без детонатора	0099	1	1.1D			1
ВЗРЫВАТЕЛЬ НЕДЕТОНИРУЮЩИЙ	0101	1	1.3G			1
ШНУР (ЗАПАЛ) ДЕТОНИРУЮЩИЙ в металлической оболочке	0102	1	1.2D			1
ЗАПАЛ трубчатый в металлической оболочке	0103	1	1.4G			2
ШНУР (ЗАПАЛ) ДЕТОНИРУЮЩИЙ СЛАБОГО ДЕЙСТВИЯ в металлической оболочке	0104	1	1.4D			2
ШНУР ОГНЕПРОВОДНЫЙ БЕЗОПАСНЫЙ	0105	1	1.4S			4
ТРУБКИ ДЕТОНАЦИОННЫЕ	0106	1	1.1B			1
ТРУБКИ ДЕТОНАЦИОННЫЕ	0107	1	1.2B			1
ГРАНАТЫ ПРАКТИЧЕСКИЕ ручные или ружейные	0110	1	1.4S			4
ГУАНИЛНИТРОЗОАМИНОГУАНИЛИДЕНГИДРАЗИН УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%	0113	1	1.1A			0
ГУАНИЛНИТРОЗОАМИНОГУАНИЛТЕТРАЗЕН (ТЕТРАЗЕН) УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 30%	0114	1	1.1A			0
ГЕКСОЛИТ (ГЕКСОТОЛ) сухой или увлажненный с массовой долей воды менее 15%	0118	1	1.1D			1
ВОСПЛАМЕНИТЕЛИ	0121	1	1.1G			1
СНАРЯДЫ ПЕРФОРАТОРНЫЕ для нефтескважин без детонатора	0124	1	1.1D			1
СВИНЦА АЗИД УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 20%	0129	1	1.1A			0
СВИНЦА СТИФНАТ (СВИНЦА ТРИНИТРОРЕЗОРЦИНАТ) УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 20%	0130	1	1.1A			0
ВОСПЛАМЕНИТЕЛИ ОГНЕПРОВОДНОГО ШНУРА	0131	1	1.4S			4
СОЛИ МЕТАЛЛОВ ДЕФЛАГРИРУЮЩИЕ, НИТРОПРОИЗВОДНЫЕ АРОМАТИЧЕСКОГО РЯДА, Н.У.К.	0132	1	1.3C			1
МАННИТГЕКСАНИТРАТ (НИТРОМАННИТ) УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 40%	0133	1	1.1D			1
РТУТЬ ГРЕМУЧАЯ УВЛАЖНЕННАЯ с массовой долей воды или смеси спирта и воды не менее 20%	0135	1	1.1A			0
МИНЫ с разрывным зарядом	0136	1	1.1F			1
МИНЫ с разрывным зарядом	0137	1	1.1D			1
МИНЫ с разрывным зарядом	0138	1	1.2D			1
НИТРОГЛИЦЕРИН ДЕСЕНСИБИЛИЗИРОВАННЫЙ с массовой долей нелетучего и нерастворимого в воде флегматизатора не менее 40%	0143	1	1.1D			1
НИТРОГЛИЦЕРИНА СПИРТОВОЙ РАСТВОР с массовой долей нитроглицерина более 1%, но не более 10%	0144	1	1.1D			1
НИТРОКРАХМАЛ сухой или увлажненный с массовой долей воды менее 20%	0146	1	1.1D			1
НИТРОМОЧЕВИНА	0147	1	1.1D			1
ПЕНТАЭРИТРИТТЕТРАНИТРАТ (ПЕНТАЭРИТРИТОЛ ТЕТРАНИТРАТ; ПЭТН) УВЛАЖНЕННЫЙ с массовой долей воды не менее 25%	0150	1	1.1D			1
ПЕНТАЭРИТРИТТЕТРАНИТРАТ (ПЕНТАЭРИТРИТОЛ ТЕТРАНИТРАТ; ПЭТН) ДЕСЕНСИБИЛИЗИРОВАННЫЙ с массовой долей флегматизатора не менее 15%	0150	1	1.1D			1
ПЕНТОЛИТ сухой или увлажнен-ный с массовой долей воды менее 15%	0151	1	1.1D			1
ТРИНИТРОАНИЛИН (ПИКРАМИД)	0153	1	1.1D			1
ТРИНИТРОФЕНОЛ (КИСЛОТА ПИКРИНОВАЯ) сухой или увлажненный с массовой долей воды менее 30%	0154	1	1.1D			1
ТРИНИТРОХЛОРБЕНЗОЛ (ПИКРИЛХЛОРИД)	0155	1	1.1D			1
ПОРОХ В БРИКЕТАХ (ПАСТА ПОРОХОВАЯ) УВЛАЖНЕННЫЙ с массовой долей воды не менее 25%	0159	1	1.3C			1
ПОРОХ БЕЗДЫМНЫЙ	0160	1	1.1C			1
ПОРОХ БЕЗДЫМНЫЙ	0161	1	1.3C			1
СНАРЯДЫ с разрывным зарядом	0167	1	1.1F			1
СНАРЯДЫ с разрывным зарядом	0168	1	1.1D			1
СНАРЯДЫ с разрывным зарядом	0169	1	1.2D			1
БОЕПРИПАСЫ ОСВЕТИТЕЛЬНЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом	0171	1	1.2G			1
УСТРОЙСТВА РАСЦЕПЛЕНИЯ ВЗРЫВЧАТЫЕ	0173	1	1.4S			4
ЗАКЛЕПКИ ВЗРЫВЧАТЫЕ	0174	1	1.4S			4
РАКЕТЫ с разрывным зарядом	0180	1	1.1F			1
РАКЕТЫ с разрывным зарядом	0181	1	1.1E			1
РАКЕТЫ с разрывным зарядом	0182	1	1.2E			1
РАКЕТЫ с инертной головкой	0183	1	1.3C			1
ДВИГАТЕЛИ РАКЕТНЫЕ	0186	1	1.3C			1
ВЗРЫВЧАТЫХ ВЕЩЕСТВ ОБРАЗЦЫ, кроме инициирующих ВВ	0190	1				0
УСТРОЙСТВА СИГНАЛЬНЫЕ РУЧНЫЕ	0191	1	1.4G			2
ПЕТАРДЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВЗРЫВЧАТЫЕ	0192	1	1.1G			1
ПЕТАРДЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВЗРЫВЧАТЫЕ	0193	1	1.4S			4
СИГНАЛЫ БЕДСТВИЯ судовые	0194	1	1.1G			1
СИГНАЛЫ БЕДСТВИЯ судовые	0195	1	1.3G			1
СИГНАЛЫ ДЫМОВЫЕ	0196	1	1.1G			1
СИГНАЛЫ ДЫМОВЫЕ	0197	1	1.4G			2
СИГНАЛЫ ЗВУКОВЫЕ ВЗРЫВЧАТЫЕ	0204	1	1.2F			1
ТЕТРАНИТРОАНИЛИН	0207	1	1.1D			1
ТРИНИТРОФЕНИЛМЕТИЛНИТРАМИН (ТЕТРИЛ)	0208	1	1.1D			1
ТРИНИТРОТОЛУОЛ (ТНТ) сухой или увлажненный с массовой долей воды менее 30%	0209	1	1.1D			1
ТРАССЕРЫ ДЛЯ БОЕПРИПАСОВ	0212	1	1.3G			1
ТРИНИТРОАНИЗОЛ	0213	1	1.1D			1
ТРИНИТРОБЕНЗОЛ сухой или увлажненный с массовой долей воды менее 30%	0214	1	1.1D			1
КИСЛОТА ТРИНИТРОБЕНЗОЙНАЯ сухая или увлажненная с массовой долей воды менее 30%	0215	1	1.1D			1
ТРИНИТРО-м-КРЕЗОЛ	0216	1	1.1D			1
ТРИНИТРОНАФТАЛИН	0217	1	1.1D			1
ТРИНИТРОФЕНЕТОЛ	0218	1	1.1D			1
ТРИНИТРОРЕЗОРЦИН (КИСЛОТА СТИФНИНОВАЯ) сухой или увлажненный с массовой долей воды или смеси спирта и воды менее 20%	0219	1	1.1D			1
МОЧЕВИНЫ НИТРАТ сухой или увлажненный с массовой долей воды менее 20%	0220	1	1.1D			1
БОЕГОЛОВКИ ТОРПЕД с разрывным зарядом	0221	1	1.1D			1
АММОНИЯ НИТРАТ	0222	1	1.1D			1
БАРИЯ АЗИД сухой или увлаж-ненный с массовой долей воды менее 50%	0224	1	1.1A			0
ДЕТОНАТОРЫ ВТОРИЧНЫЕ С ПЕРВИЧНЫМ ДЕТОНАТОРОМ	0225	1	1.1B			1
ЦИКЛОТЕТРАМЕТИЛЕНТЕТРАНИТРАМИН (НМХ; ОКТОГЕН) УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%	0226	1	1.1D			1
НАТРИЯ ДИНИТРО-о-КРЕЗОЛЯТ сухой или увлажненный с массовой долей воды менее 15%	0234	1	1.3C			1
НАТРИЯ ПИКРАМАТ сухой или увлажненный с массовой долей воды менее 20%	0235	1	1.3C			1
ЦИРКОНИЯ ПИКРАМАТ сухой или увлажненный с массовой долей воды менее 20%	0236	1	1.3C			1
ЗАРЯДЫ КУМУЛЯТИВНЫЕ ГИБКИЕ УДЛИНЕННЫЕ	0237	1	1.4D			2
РАКЕТЫ ТРОСОМЕТАТЕЛЬНЫЕ	0238	1	1.2G			1
РАКЕТЫ ТРОСОМЕТАТЕЛЬНЫЕ	0240	1	1.3G			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП Е	0241	1	1.1D			1
ЗАРЯДЫ МЕТАТЕЛЬНЫЕ ДЛЯ ОРУДИЙ	0242	1	1.3C			1
БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ С БЕЛЫМ ФОСФОРОМ с разрывным, вышибным или метательным зарядом	0243	1	1.2H			1
БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ С БЕЛЫМ ФОСФОРОМ с разрывным, вышибным или метательным зарядом	0244	1	1.3H			1
БОЕПРИПАСЫ ДЫМОВЫЕ С БЕЛЫМ ФОСФОРОМ с разрывным, вышибным или метательным зарядом	0245	1	1.2H			1
БОЕПРИПАСЫ ДЫМОВЫЕ С БЕЛЫМ ФОСФОРОМ с разрывным, вышибным или метательным зарядом	0246	1	1.3H			1
БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ, снаряженные жидкостью или гелем, с разрывным, вышибным или метательным зарядом	0247	1	1.3J			1
УСТРОЙСТВА ВОДОАКТИВИРУЕМЫЕ с разрывным, вышибным или метательным зарядом	0248	1	1.2L			0
УСТРОЙСТВА ВОДОАКТИВИРУЕМЫЕ с разрывным, вышибным или метательным зарядом	0249	1	1.3L			0
ДВИГАТЕЛИ РАКЕТНЫЕ С ГИПЕРГОЛИЧЕСКОЙ ЖИДКОСТЬЮ с вышибным зарядом или без него	0250	1	1.3L			0
БОЕПРИПАСЫ ОСВЕТИТЕЛЬНЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом	0254	1	1.3G			1
ДЕТОНАТОРЫ ЭЛЕКТРИЧЕСКИЕ для взрывных работ	0255	1	1.4B			2
ТРУБКИ ДЕТОНАЦИОННЫЕ	0257	1	1.4B			2
ОКТОЛИТ (ОКТОЛ) сухой или увлажненный с массовой долей воды менее 15%	0266	1	1.1D			1
ДЕТОНАТОРЫ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ	0267	1	1.4B			2
ДЕТОНАТОРЫ ВТОРИЧНЫЕ С ПЕРВИЧНЫМ ДЕТОНАТОРОМ	0268	1	1.2B			1
ЗАРЯДЫ МЕТАТЕЛЬНЫЕ	0271	1	1.1C			1
ЗАРЯДЫ МЕТАТЕЛЬНЫЕ	0272	1	1.3C			1
ПАТРОНЫ ДЛЯ ЗАПУСКА МЕХАНИЗМОВ	0275	1	1.3C			1
ПАТРОНЫ ДЛЯ ЗАПУСКА МЕХАНИЗМОВ	0276	1	1.4C			2
ПАТРОНЫ ДЛЯ НЕФТЕСКВАЖИН	0277	1	1.3C			1
ПАТРОНЫ ДЛЯ НЕФТЕСКВАЖИН	0278	1	1.4C			2
ЗАРЯДЫ МЕТАТЕЛЬНЫЕ ДЛЯ ОРУДИЙ	0279	1	1.1C			1
ДВИГАТЕЛИ РАКЕТНЫЕ	0280	1	1.1C			1
ДВИГАТЕЛИ РАКЕТНЫЕ	0281	1	1.2C			1
НИТРОГУАНИДИН (ПИКРИТ) сухой или увлажненный с массовой долей воды менее 20%	0282	1	1.1D			1
ДЕТОНАТОРЫ ВТОРИЧНЫЕ без первичного детонатора	0283	1	1.2D			1
ГРАНАТЫ ручные или ружейные с разрывным зарядом	0284	1	1.1D			1
ГРАНАТЫ ручные или ружейные с разрывным зарядом	0285	1	1.2D			1
БОЕГОЛОВКИ РАКЕТ с разрывным зарядом	0286	1	1.1D			1
БОЕГОЛОВКИ РАКЕТ с разрывным зарядом	0287	1	1.2D			1
ЗАРЯДЫ КУМУЛЯТИВНЫЕ ГИБКИЕ УДЛИНЕННЫЕ	0288	1	1.1D			1
ШНУР ДЕТОНИРУЮЩИЙ гибкий	0289	1	1.4D			2
ШНУР (ЗАПАЛ) ДЕТОНИРУЮЩИЙ в металлической оболочке	0290	1	1.1D			1
БОМБЫ с разрывным зарядом	0291	1	1.2F			1
ГРАНАТЫ ручные или ружейные с разрывным зарядом	0292	1	1.1F			1
ГРАНАТЫ ручные или ружейные с разрывным зарядом	0293	1	1.2F			1
МИНЫ С РАЗРЫВНЫМ ЗАРЯДОМ	0294	1	1.2F			1
РАКЕТЫ с разрывным зарядом	0295	1	1.2F			1
СИГНАЛЫ ЗВУКОВЫЕ ВЗРЫВЧАТЫЕ	0296	1	1.1F			1
БОЕПРИПАСЫ ОСВЕТИТЕЛЬНЫЕ, снаряженные или не снаря-женные разрывным, вышибным или метательным зарядом	0297	1	1.4G			2
ФОТОАВИАБОМБЫ	0299	1	1.3G			1
БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ, снаряженные или не снаря-женные разрывным, вышибным или метательным зарядом	0300	1	1.4G			2
БОЕПРИПАСЫ СЛЕЗОТОЧИВЫЕ с разрывным, вышибным или метательным зарядом	0301	1	1.4G			2
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или мета-тельным зарядом	0303	1	1.4G			2
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или мета-тельным зарядом, содержащие коррозионные вещества	0303	1	1.4G			2
БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или мета-тельным зарядом, содержащие токсичные при вдыхании вещества	0303	1	1.4G			2
ПОРОХ ДЛЯ ПИРОТЕХНИЧЕСКИХ ИЗДЕЛИЙ	0305	1	1.3G			1
ТРАССЕРЫ ДЛЯ БОЕПРИПАСОВ	0306	1	1.4G			2
ПАТРОНЫ СИГНАЛЬНЫЕ	0312	1	1.4G			2
СИГНАЛЫ ДЫМОВЫЕ	0313	1	1.2G			1
ВОСПЛАМЕНИТЕЛИ	0314	1	1.2G			1
ВОСПЛАМЕНИТЕЛИ	0315	1	1.3G			1
ТРУБКИ ЗАЖИГАТЕЛЬНЫЕ	0316	1	1.3G			1
ТРУБКИ ЗАЖИГАТЕЛЬНЫЕ	0317	1	1.4G			2
ГРАНАТЫ ПРАКТИЧЕСКИЕ ручные или ружейные	0318	1	1.3G			1
ВТУЛКИ КАПСЮЛЬНЫЕ	0319	1	1.3G			1
ВТУЛКИ КАПСЮЛЬНЫЕ	0320	1	1.4G			2
ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом	0321	1	1.2E			1
ДВИГАТЕЛИ РАКЕТНЫЕ С ГИПЕРГОЛИЧЕСКОЙ ЖИДКОСТЬЮ с вышибным зарядом или без него	0322	1	1.2L			0
ПАТРОНЫ ДЛЯ ЗАПУСКА МЕХАНИЗМОВ	0323	1	1.4S			4
СНАРЯДЫ с разрывным зарядом	0324	1	1.2F			1
ВОСПЛАМЕНИТЕЛИ	0325	1	1.4G			2
ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ	0326	1	1.1C			1
ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ	0327	1	1.3C			1
ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ ХОЛОСТЫЕ	0327	1	1.3C			1
ПАТРОНЫ ДЛЯ ОРУЖИЯ С ИНЕРТНЫМ СНАРЯДОМ	0328	1	1.2C			1
ТОРПЕДЫ с разрывным зарядом	0329	1	1.1E			1
ТОРПЕДЫ с разрывным зарядом	0330	1	1.1F			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП В	0331	1	1.5D	1.5D		1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП Е	0332	1	1.5D	1.5D		1
СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ	0333	1	1.1G			1
СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ	0334	1	1.2G			1
СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ	0335	1	1.3G			1
СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ	0336	1	1.4G			2
СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ	0337	1	1.4S			4
ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ	0338	1	1.4C			2
ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ ХОЛОСТЫЕ	0338	1	1.4C			2
ПАТРОНЫ ДЛЯ ОРУЖИЯ С ИНЕРТНЫМ СНАРЯДОМ	0339	1	1.4C			2
ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ	0339	1	1.4C			2
НИТРОЦЕЛЛЮЛОЗА сухая или увлажненная с массовой долей воды (или спирта) менее 25%	0340	1	1.1D			1
НИТРОЦЕЛЛЮЛОЗА немодифицированная или пластифицированная с массовой долей пластификатора менее 18%	0341	1	1.1D			1
НИТРОЦЕЛЛЮЛОЗА ПРОПИТАННАЯ с массовой долей спирта не менее 25%	0342	1	1.3C			1
НИТРОЦЕЛЛЮЛОЗА ПЛАСТИФИЦИРОВАННАЯ с массовой долей пластификатора не менее 18%	0343	1	1.3C			1
СНАРЯДЫ с разрывным зарядом	0344	1	1.4D			2
СНАРЯДЫ инертные с трассером	0345	1	1.4S			4
СНАРЯДЫ с разрывным или вышибным зарядом	0346	1	1.2D			1
СНАРЯДЫ с разрывным или вышибным зарядом	0347	1	1.4D			2
ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом	0348	1	1.4F			2
ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.	0349	1	1.4S			4
ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.	0350	1	1.4B			2
ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.	0351	1	1.4C			2
ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.	0352	1	1.4D			2
ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.	0353	1	1.4G			2
ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.	0354	1	1.1L			0
ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.	0355	1	1.2L			0
ИЗДЕЛИЯ ВЗРЫВЧАТЫЕ, Н.У.К.	0356	1	1.3L			0
ВЕЩЕСТВА ВЗРЫВЧАТЫЕ, Н.У.К.	0357	1	1.1L			0
ВЕЩЕСТВА ВЗРЫВЧАТЫЕ, Н.У.К.	0358	1	1.2L			0
ВЕЩЕСТВА ВЗРЫВЧАТЫЕ, Н.У.К.	0359	1	1.3L			0
СБОРКИ ДЕТОНАТОРОВ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ	0360	1	1.1B			1
СБОРКИ ДЕТОНАТОРОВ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ	0361	1	1.4B			2
БОЕПРИПАСЫ ПРАКТИЧЕСКИЕ	0362	1	1.4G			2
БОЕПРИПАСЫ ИСПЫТАТЕЛЬНЫЕ	0363	1	1.4G			2
ДЕТОНАТОРЫ ДЛЯ БОЕПРИПАСОВ	0364	1	1.2B			1
ДЕТОНАТОРЫ ДЛЯ БОЕПРИПАСОВ	0365	1	1.4B			2
ДЕТОНАТОРЫ ДЛЯ БОЕПРИПАСОВ	0366	1	1.4S			4
ТРУБКИ ДЕТОНАЦИОННЫЕ	0367	1	1.4S			4
ТРУБКИ ЗАЖИГАТЕЛЬНЫЕ	0368	1	1.4S			4
БОЕГОЛОВКИ РАКЕТ с разрывным зарядом	0369	1	1.1F			1
БОЕГОЛОВКИ РАКЕТ с разрывным или вышибным зарядом	0370	1	1.4D			2
БОЕГОЛОВКИ РАКЕТ с разрывным или вышибным зарядом	0371	1	1.4F			2
ГРАНАТЫ ПРАКТИЧЕСКИЕ ручные или ружейные	0372	1	1.2G			1
УСТРОЙСТВА СИГНАЛЬНЫЕ РУЧНЫЕ	0373	1	1.4S			4
СИГНАЛЫ ЗВУКОВЫЕ ВЗРЫВЧАТЫЕ	0374	1	1.1D			1
СИГНАЛЫ ЗВУКОВЫЕ ВЗРЫВЧАТЫЕ	0375	1	1.2D			1
ВТУЛКИ КАПСЮЛЬНЫЕ	0376	1	1.4S			4
КАПСЮЛИ-ВОСПЛАМЕНИТЕЛИ	0377	1	1.1B			1
